Ticker,Name,Country/Region,Currency
XA1 Comdty,Generic 1st 'XA' Future,GB,USD
HUCL1 Index,Bloomberg Nymex Gasoline Nymex,US,USD
RIN6Y0 Index,US Ethanol D6 RINs Y0 Price,US,USD
ENM4COM4 Comdty,ICE EN-CO Spread  M4-M4,GB,USD
DETJ4 Comdty,Phelix DE Base M  Apr24,DE,EUR
CDSPDRAV Index,China Domestic Steel Rebar 25,CH,CNY
FVXRM1 Index,NYMEX RBOB Gasoline Futures mi,US,USD
IVOLCRUD Index,Crude Oil 3M Implied Volatilit,,
HOCL1 Index,Bloomberg Nymex Heating Oil Ny,US,USD
FSQCQ Q324 Index,Bloomberg Fair Value Price/ICE,MULT,USD
IMM5PNCN Index,Bloomberg CFTC CME British Pou,,
SLVRLND Index,LBMA Silver Price - Price/USD,GB,USD
DOEDMGAS Index,DOE Motor Gasoline Total Produ,US,
GCFPPGBZ Index,Brazil Potash CFR Granular Spo,BZ,USD
NBPG1MON Index,UK NBP Natural Gas Forward M1,GB,GBp
TFC1DLFN Index,CFTC CME Japanese Yen Leverage,,
L4CNVHTQ Index,China Lithium Carbonate 99% DE,CH,CNY
MOIGC87P Index,US Gulf Coast Gasoline 87 Octa,US,USd
NRGSNG12 Index,Bloomberg Nymex Henry Hub Natu,US,USD
FSNGY 24 Index,Bloomberg Fair Value Price/Nym,US,USD
D27DAGNI Index,Dirty VLCC Arab Gulf to China,MULT,USD
CECN0002 Index,China Yangshan Copper Cathode,CH,USD
MERSHDH1 Index,Houston HDPE Blow Moulding gra,US,USD
COCAIVTL Index,Cocoa Merchants Cocoa Beans In,US,
GCFPAMTP Index,US Tampa Ammonia CFR Spot Pric,US,USD
C5TCM1 Index,Capesize 5TC FFA 180kt Timecha,MULT,USD
ELGBDAHD Index,Germany Power Baseload Forward,GE,EUR
IMMBENCN Index,Bloomberg CFTC CME Euro Fx Net,,
HWYDUSTL Index,EIA Weekly Retail On-Highway D,US,USD
JMATRHOD Index,Johnson Matthey Rhodium Spot P,MULT,USD
IVOLBREN Index,Brent 3M Implied Volatility,,
ICCBBMMN Index,ICE Brent Crude COT Managed Mo,GB,
ELGBY 25 Index,Germany Power Baseload Forward,GE,EUR
COASNE60 Index,Australia Newcastle Port Therm,AU,USD
ISIX65PU Index,Iron Ore Spot Price Index 65%,CH,USD
RIN3Y0 Index,US Cellulosic Biofuel D3 RIN Y,US,USD
HOK4CLK4 Comdty,NYM HO-CL SPREAD  K4-K4,US,USD
UXCPU308 Index,UxC Uranium U3O8 Spot Price,,USD
GSLIQCCH Index,LNG Net Flows Corpus Christi,US,
NAMM00F7 Index,PLATTS Clean Copper Concentrat,,USD
IRCNA62U Index,China Iron Ore Australian Fine,CH,USD
TFF1NAIN Index,CFTC CME E Mini S&P 500 Asst M,,
ACCUSPOT Index,Australia Carbon Credit Units,AU,AUD
SSGSSFC3 Index,Soda Ash FOB China Physical Sp,CH,USD
XBK4CLK4 Comdty,NYM XB-CL Spread  K4-K4,US,USD
FSQCQ Q224 Index,Bloomberg Fair Value Price/ICE,MULT,USD
FSCLY 25 Index,Bloomberg Fair Value Price/Nym,US,USD
ELSBYR1 Index,Spain Power Baseload Forward Y,SP,EUR
JPIVLNGW Index,Japan LNG Inventory by Utiliti,JN,
FVQCM K24 Index,ICE Gasoil Futures minus ICE B,MULT,USD
BCSL0030 Index,US Gulf Coast Jet Fuel 54 Prom,US,USd
WU1 Comdty,Generic 1st 'WU' Future,US,USD
DET1 Comdty,Generic 1st 'DET' Future,DE,EUR
L6CNVRAT Index,China Lithium Hydroxide Monohy,CH,CNY
GSLIQSPI Index,LNG Net Flows Sabine Pass,US,
FSNGY 26 Index,Bloomberg Fair Value Price/Nym,US,USD
PCRUDTB1 Index,Platts European Dated Brent Cr,,USD
FVXHM M24 Index,NYMEX RBOB Gasoline Futures mi,US,USd
HCCAM1 Index,APAC Hard Coking Coal FOB Aust,AU,USD
ELUBDAHD Index,UK Power Baseload Forward Day,GB,GBP
CUA1 Comdty,Generic 1st 'CUA' Future,US,USD
XDUSFA Index,US Oil & Gas Exploration & Dri,,
F5CNNP15 Index,China Nickel Pig Iron 8-12%,,CNY
XO1 Comdty,Generic 1st 'XO' Future,GB,USD
GSPRDHNV Index,Haynesville Estimated Dry Gas,,
ZACNTC26 Index,China Treatment Charge Index f,,USD
