Ticker,Name,Country/Region,Currency
S58FY 25 Index,Supramax 58 TC FFA 58kt Timech,MULT,USD
TTFG1SUM Index,Netherlands TTF Natural Gas Fo,NE,EUR
AJKMM2 Index,Asia JKM LNG DES Japan-Korea C,JN,USD
ARASKERO Index,PJK International ARA Jet-Kero,MULT,
CMDIBASS Index,Bloomberg Base Metals Spot Pri,GB,
CDSPSPAV Index,China Domestic Steel Plate 20m,CH,CNY
DOEDTPRD Index,DOE Oil Total Products Supplie,US,
LPGSMBNG Index,North American Spot LPGs/NGLs,US,USd
NGCGNYNY Index,Texas Eastern Transmission (TE,US,USD
PJMFY1 Index,US Power PJM Western Hub Real,US,USD
USCSUHC1 Index,US Crude Oil Bakken Clearbrook,US,USD
AHOYEXUS Index,United States Daily LNG Export,US,
CMEOLNNT Index,CFTC CME Live Cattle Non-Comme,US,
MBCNLUFJ Index,China Molybdenum 99% Spot,,CNY
PLTKLICA Index,Platts Lithium Carbonate Price,,USd
RBOBG87P Index,RBOB Regular Gasoline F Coloni,US,USD
API2QTR1 Index,Europe Coal 6000kcal CIF ARA F,MULT,USD
BOXPBE85 Index,USDA Boxed Pork Belly Cut 200,US,USD
PWEUETHN Index,NEXANT Price - Ethylene - West,MULT,USD
RKK4 Comdty,NAT GAS PHYS TAS  May24,US,USD
C5TCM J24 Index,Capesize 5TC FFA 180kt Timecha,MULT,USD
CO22C100 Index,Argus/Metallurgical Coal low v,,USD
ELUBS WI2425 Index,UK Power Baseload Forward Seas,GB,GBP
FSXRM K24 Index,NYMEX RBOB Gasoline minus ICE,US,USD
FVHCM J24 Index,NYMEX Heating Oil Futures minu,US,USD
IMMTENCN Index,Bloomberg CFTC CME E-Mini S&P,,
NGWCSCCG Index,Southern California Gas (Socal,US,USD
NYM1CTLL Index,CFTC NYMEX Crude Oil Light Swe,US,
ELUB1WIN Index,UK Power Baseload Forward Wint,GB,GBP
FSB1M1 Index,Bloomberg Fair Value Price/Rot,MULT,USD
IRCNSTCH Index,China Iron Ores Ports Inventor,,
MOIGC87A Index,Bloomberg Gulf Coast 87 Octane,US,USd
SYBBBRF2 Index,Commodity3 Brazil Soybeans FOB,BZ,USd
C0CNIM Index,China Coal Imports,CH,
FPJRY 25 Index,Bloomberg Fair Value Price/ PJ,US,USD
FSQCM2 Index,Bloomberg Fair Value Price/ICE,MULT,USD
HOGSNATL Index,USDA National Markets 51-52% L,US,USD
IHW1 Comdty,Generic 1st 'IHW' Future,US,USD
PSVGM1 Index,Italy PSV Natural Gas Forward,IT,EUR
FPJMM1 Index,Bloomberg Fair Value Price/ PJ,US,USD
GCFPAMIN Index,India Ammonia CFR Spot Price i,IN,USD
NEX1M Comdty,Generic 1st 'NEXM'Future,NO,EUR
Q1CNCJKU Index,China Chrome Concentrate South,SA,USD
AISIROCU Index,American Iron and Steel Instit,US,
BCSL0084 Index,Western Canada Select Crude Oi,US,USD
GLCNIV Index,China Non-Monetary Gold Total,,USD
LICNSMLI Index,China Domestic Lithium Metal 9,,CNY
OPCRECTO Index,Bloomberg OPEC Crude Oil OPEC,,
PASOSPFO Index,Platts 380 Centistoke 3.5% Hig,,USD
BRIASARD Index,Brazil Mato Grosso IMEA Soybea,BZ,BRL
BWAHM1 Index,US Natural Gas Waha Hub Basis,US,USD
CGIEDEST Index,GIE Germany Gas Storage (TWh),GE,
COC0CIQ1 Index,Cocoa Good Fermented (FOB-Ivor,IV,EUR
FLSOM0 Index,Bloomberg Price/Ultra Low Sulf,MULT,USD
FSCLY 26 Index,Bloomberg Fair Value Price/Nym,US,USD
NAPH40NP Index,Heavy Naphtha USGC Barge MKTMI,US,USD
PLCNPZVZ Index,China Polysilicon 9N Delivered,CH,CNY
RIGJAD28 Index,RigLogix Current Average Day R,,USD
BCSL0031 Index,US New York Harbor Jet Fuel 54,US,USd
EGSINCED Index,Powernext Gas THE Germany End,GE,EUR
JETIGCAM Index,Bloomberg Gulf Coast 54-Grade,US,USd
NO2IGCPR Index,US Gulf Coast No. 2 Heating Oi,US,USd
NOAANT34 ANOM Index,NOAA Climate Prediction Center,US,
OAWWPR Index,Global Cocoa Production,MULT,
ACFFPCDT Index,Average Cost of Fossil Fuels P,US,USD
COALPWDR Index,Bloomberg Powder River Basin 8,US,USD
ELGBQ Q224 Index,Germany Power Baseload Forward,GE,EUR
BASMSBSO Index,CEPEA Brazil ESALQ Soybean Who,BZ,BRL
EPUSTOT Index,Edison Electric United States,US,
FSHCY 24 Index,Bloomberg Fair Value Price/Hea,US,USD
RUSOTTDY Index,Russian Oil Output Total Daily,RU,
USCSECON Index,Canada C5 Condensate fob Edmon,CA,USD
DIEINULP Index,ULSD NY Buckeye MKTMID,US,USD
DOEINICR Index,US DOE Crude Oil Net Imports I,US,
FDHCM0 Index,Dubai Hydrocracker (HCU) Refin,MULT,USD
JXTN4 Comdty,Phelix DE Base Q  Jul24,DE,EUR
NGBH.ETH Index,Ethanol Cash Margin cents per,US,USD
TTFG2MON Index,Netherlands TTF Natural Gas Fo,NE,EUR
VEGOSFYZ Index,Ukraine Sunflower Oil FOB Chor,UK,USD
AMEUDDP Index,European Rotterdam Aluminum In,NE,USD
FNNSM J24 Index,Bloomberg Fair Value Price/NWE,MULT,USD
NAMC0018 Index,PLATTS High Vol A Coking Coal,,USD
QZTN4 Comdty,TTF NAT GAS Q     Jul24,NL,EUR
CECDARD Index,Brazil Cecafe Data - Arabica D,BZ,
CFCDOMMN Index,CFTC NYMEX Natgas Managed Mone,US,
CHCNMEDI Index,China Chemicals SunSirs MDI Me,CH,CNY
FINSBUSG Index,US Gulf Butadiene CIF Spot Pri,US,USd
GCFPNTBS Index,Black Sea Ammonium Nitrate Spo,MULT,USD
NAPHSINF Index,Naphtha Singapore FOB Cargoes,SI,USD
S58FQ Q224 Index,Supramax 58 TC FFA 58kt Timech,MULT,USD
SCTSNOVE Index,Suez Canal Traffic Statistics,EG,
SGLDWDPA Index,Global Gold Mine Production An,,
XAJ4XAK4 Comdty,ICE RTD MONTH COA J4-K4,GB,USD
BPCEGRBF Index,USDA Ground Beef Retail Price,US,USD
FSQCQ Q224Q324 Index,Bloomberg Fair Value Price/ICE,MULT,USD
JMATPALL Index,Johnson Matthey Palladium Spot,MULT,USD
TCPMCQUE Index,Soda Ash United States - Domes,US,USD
FEGBM1 Index,Bloomberg Fair Value Germany B,GE,EUR
RSQSM1 Index,Jet Fuel FOB Barges Rotterdam,NE,USD
TFC1NAIN Index,CFTC CME E Mini S&P 500 Asst M,,
C1USESI Index,United States Corn Ending Stoc,US,
FOEXUSNB Index,US Pulp NBSK PIX Index,US,USD
BCNGM1 Index,US Natural Gas Dominion South,US,USD
CFFDCMMN Index,CFTC CBT Corn Managed Money Ne,US,
ELSBDAHD Index,Spain Power Baseload Forward D,SP,EUR
ETOXHUNA Index,China Ethylene Oxide Spot Pric,CH,CNY
LPXBHR01 Index,Epex Spot Germany Day-Ahead Au,GE,EUR
MACNRDAY Index,China Magnesium Ingot 99.9% FO,CH,USD
MBBLM1 Index,US Mont Belvieu non TET Normal,US,USd
PEIMCRUD Index,India Crude Oil Imports Quanti,IN,
PRMMCOPP Index,Peru Copper Production Monthly,PE,
WBPCMHPR Index,Potassium Chloride (Muriate of,CA,USD
AHOYEXQA Index,Qatar Daily LNG Exports (AHOY,QA,
CHICNEBB Index,USDA Northeast Broiler Fryer B,US,USd
DEIBM2 Index,Middle East Dubai Crude EFS vs,UA,USD
EC1 Comdty,Generic 1st 'EC' Future,US,USD
ENNSHEPK Index,Nord Pool Finland Day Ahead Pe,FI,EUR
FACJ4K4 Comdty,FRENCH BASE M SPR J4-K4,DE,EUR
FSSKM1 Index,Bloomberg Fair Value Price/Sin,SI,USD
IMM5JOIN Index,CFTC CME Japanese Yen Total Op,,
NBPGWTHN Index,UK NBP Natural Gas Forward Wit,GB,GBp
OPCRVENZ Index,Bloomberg OPEC Crude Oil Produ,VZ,
CBTOCNCN Index,Bloomberg CFTC CBT Corn Net No,US,
GSLIQCOV Index,LNG Net Flows Cove Point,US,
NGCANHUN Index,Huntingdon BC/Sumas WA USD/MMb,CA,USD
NZUSYR1 Index,First Year New Zealand Units (,NZ,NZD
CECNST07 Index,China Copper Smelters Inventor,,
ELUBS WI2627 Index,UK Power Baseload Forward Seas,GB,GBP
EPEXHR13 Index,European Electricity Index (EL,MULT,EUR
IVOLSOYB Index,Soybeans 3M Implied Volatility,,
JMATRUTH Index,Johnson Matthey Ruthenium Spot,MULT,USD
LACRMAUS Index,PMI OSP Crude Oil Maya US Gulf,MX,USD
CC24M1 Index,US California Carbon Allowance,US,USD
CCALSALE Index,CFTC Cotton on Call Weekly Unf,US,
CECNST18 Index,China Copper Cathode Bonded Wa,,
CRPPAVG Index,Canada Regular Gasoline Averag,CA,CAd
EEDANCG1 Index,PEGAS THE Spot - Day-Ahead,GE,EUR
MXAPAGMI Index,Mexico City Hass Avocado Price,MX,MXN
PWEUPRPY Index,NEXANT Price - Polypropylene -,MULT,USD
CHPZGCIW Index,China Gasoline Commercial Inve,CH,
ENGEDMSE Index,Brazil ONS Hydroelectricity St,BZ,
GCFPMABZ Index,Brazil MAP CFR Spot Price,BZ,USD
WMIK4 Comdty,Micro WTI Crude F May24,US,USD
C5TCY1 Index,Capesize 5TC FFA 180kt Timecha,MULT,USD
FBHSM1 Index,Bloomberg Fair Value/Houston S,US,USD
ICCBBMMS Index,ICE Brent Crude COT Managed Mo,GB,
NATD00EC Index,PLATTS Dirty USGC-UK Continent,,USD
PAL2MASY Index,Malaysian Palm Oil Board Crude,MA,MYR
SSGSSFR Index,Styrene FOB Rotterdam Physical,NE,USD
BLB1 Comdty,Generic 1st 'BLB' Future,US,USD
ERCRDEMD Index,ERCOT Actual System Demand,,
IGIFMVME Index,Mazara del Vallo Entry Intrada,IT,
JETFLAPL Index,GX Jet Fuel Kinder Morgan Sout,US,USD
NASJ0003 Index,PLATTS TSI Iron Ore Fines 62%,,USD
NVM4 Comdty,HEATING OIL FUT   Jun24,GB,USD
PSMUESCR Index,DOE PSM US Ending Stocks of Cr,US,
EEUAM1 Index,Bloomberg Fair Value European,MULT,EUR
ETFPPDTO Index,Palladium Holdings All Known E,,
FWJSM1 Index,Bloomberg Fair Value Price/NWE,MULT,USD
NABF00F7 Index,PLATTS Sustainable Aviation Fu,,USD
