Date,last_price,return,volatility_weekly,volatility_monthly,volatility_annual,T+1 return,T+3 return,T+5 return,T+10 return
2021-06-24,12.74,0.022389856351817672,0.010936462695131634,0.020324988012053492,0.058031277753558874,12.934,0.04856100526955798,0.10660506502395606,0.07113871635610769
2021-06-25,12.934,0.015227629513343777,0.008181247926073214,0.02011492177045058,0.058016791271996535,12.888,0.03426691276783567,0.06883396914911266,0.06732919254658398
2021-06-28,12.888,-0.003556517705272877,0.010879374257289269,0.0193630986245861,0.058022520741730935,13.047,0.024097331240188424,0.057721929468990574,0.07604123711340205
2021-06-29,13.047,0.012337057728119216,0.00950497012452324,0.01903984203796314,0.058019643904713196,13.391,0.03533323024586377,0.07463285450605883,0.1412135674109425
2021-06-30,13.391,0.026366214455430415,0.011557340846662965,0.018377124597455163,0.058029115675276466,14.2,0.10180012414649275,0.11459968602825743,0.2201409176834508
2021-07-01,14.2,0.06041371070121726,0.023910906676853614,0.021099518209520402,0.058113834779839765,13.738,0.05296236682762312,0.06216174423998755,0.17539356605065004
2021-07-02,13.738,-0.03253521126760561,0.03454688467528989,0.02322589112586286,0.0581595781655772,14.31,0.06862818310805774,0.11033519553072635,0.18676397412506218
2021-07-05,14.31,0.04163633716698212,0.03516777441754767,0.02388931856354157,0.05819074951945415,14.247,0.0033098591549296508,0.09197516670498951,0.15500608025942442
2021-07-06,14.247,-0.004402515723270439,0.03702308708656985,0.024198392707031658,0.05819441511289441,13.046,-0.05037123307613922,-0.025763572548726854,0.046946472995746724
2021-07-07,13.046,-0.08429844879623782,0.05808168837689316,0.030038581664729787,0.058496091749334796,11.952,-0.16477987421383655,-0.15830985915492957,-0.06185243328100476
2021-07-08,11.952,-0.08385712095661502,0.05386584346172774,0.03542485332715063,0.05878866585165793,13.513,-0.051519618165227765,-0.016377929829669458,0.04476573372506576
2021-07-09,13.513,0.13060575635876837,0.0907593735459649,0.04540646557438874,0.05928162440698476,13.588,0.041545301241759924,-0.050454227812718466,0.054314090626939704
2021-07-12,13.588,0.005550210908014552,0.08800748965630992,0.04535505680354941,0.059205142486739165,13.288,0.11178045515394919,-0.06731241664911913,0.018471679313252
2021-07-13,13.288,-0.022078304386223047,0.08821774362619282,0.04576984132361653,0.059205859414255206,13.338,-0.012950492118700585,0.022382339414379837,-0.0039578821596595315
2021-07-14,13.338,0.003762793497892769,0.07808860655131075,0.045770499524283026,0.05920392789359478,13.275,-0.02303503090962611,0.11069277108433728,-0.0651408450704225
2021-07-15,13.275,-0.0047233468286098645,0.06134633747284557,0.045022395270185984,0.05895198090099724,13.961,0.05064720048163762,0.03315325982387329,0.01623234823118369
2021-07-16,13.961,0.051676082862523565,0.02734678394755001,0.04590939306210642,0.05900858734238899,14.262,0.06927575348628001,0.049602590521047984,-0.0033542976939203717
2021-07-19,14.262,0.021560060167609807,0.028085674233603385,0.045962371297641504,0.05901064028820332,14.315,0.07834274952919018,0.07728777844671875,0.004772934652909289
