Date,Return,Vol,Duration
2022-11-17,-6.40555146570907,-9.370922341186816,7.602799723427341
2022-11-18,-6.782049394924307,-9.398182504743474,7.446935643041895
2022-11-21,-6.092111612029267,-9.357864949862716,7.844822773989047
2022-11-22,-6.088294905489586,-9.36879822458867,7.356672591247209
2022-11-25,-5.299464763221885,-9.395049168154678,7.429582885116262
2022-11-29,-0.2020913062415736,-9.38932246393917,7.303641502630516
2022-12-01,-3.188801651935895,-9.147396111006424,7.56901554519733
2022-12-02,-3.2028181721659066,-9.379991558040786,7.609014768751959
2022-12-06,-5.702636868319746,-9.979671481782207,7.785164324538914
2022-12-07,-3.2628335012270377,-9.675530794512145,7.29362247420726
2022-12-08,-2.412288178256658,-9.40056612839855,7.534237297666372
2022-12-09,-4.400020817223926,-10.0,8.480796327331522
2022-12-15,-3.307433763523246,-9.333127203158663,7.311836308642982
