Date,displace_ratio_20,displace_ratio_40,displace_ratio_60,zero_crossings_10,zero_crossings_20,zero_crossings_40,zero_crossings_60,y_n1,y_n5,y_n10,y_n20,y_label_n1,y_label_n5,y_label_n10,y_label_n20,hurst_simplify_random_walk,hurst_notsimplify_random_walk,hurst_simplify_price,hurst_notsimplify_price,hurst_simplify_change,hurst_notsimplify_change,mom_5d,mom_20d,mom_90d,mom_150d
2017-03-31,-0.4761904761904759,-0.7884615384615382,-0.8762886597938144,0.2,0.05,0.025,0.016666666666666666,0.0,-0.009216655104923976,0.009132483563272453,0.053584246134106284,False,False,True,True,,,,,,,0.018519047767237673,-0.0877756108823855,,
2017-04-03,-0.5499999999999994,-0.7843137254901958,-0.8762886597938144,0.2,0.05,0.025,0.016666666666666666,0.0,-0.009216655104923976,0.009132483563272453,0.06224230887722082,False,False,True,True,,,,,,,0.018519047767237673,-0.0877756108823855,,
2017-04-04,-0.63157894736842,-0.7777777777777776,-0.8762886597938144,0.1,0.05,0.075,0.016666666666666666,0.0,-0.004597709248629567,0.009132483563272453,0.053584246134106284,False,False,True,True,,,,,,,0.0,-0.09614386055290214,,
2017-04-05,-0.5882352941176461,-0.7777777777777776,-0.8723404255319149,0.1,0.05,0.075,0.016666666666666666,0.0,0.013667638728663833,0.018182319083190235,0.04485056616535177,False,True,True,True,,,,,,,-0.013667638728663833,-0.10444266336759722,,
2017-04-06,-0.5624999999999991,-0.7634408602150535,-0.8723404255319149,0.1,0.05,0.025,0.016666666666666666,-0.009216655104923976,0.013667638728663833,0.04485056616535177,0.04485056616535177,False,True,True,True,,,,,,,-0.013667638728663833,-0.0877756108823855,,
2017-04-07,-0.5882352941176461,-0.7634408602150535,-0.8709677419354839,0.2,0.15,0.025,0.016666666666666666,0.0,0.01834913866819643,0.054067221270275745,0.0452565915881209,False,True,True,True,,,,,,,-0.009216655104923976,-0.08855339734144496,,
2017-04-10,-0.5882352941176461,-0.7634408602150535,-0.8285714285714286,0.2,0.15,0.025,0.016666666666666666,0.00461894585629441,0.01834913866819643,0.054067221270275745,0.0452565915881209,True,True,True,True,,,,,,,-0.009216655104923976,-0.08855339734144496,,
2017-04-11,-0.4482758620689654,-0.7362637362637363,-0.8059701492537317,0.1,0.15,0.025,0.016666666666666666,0.0182653479772934,0.01373019281190202,0.05818195538273585,0.0227800283318198,True,True,True,True,,,,,,,-0.004597709248629567,-0.08393445148515055,,
2017-04-12,-0.03999999999999909,-0.5362318840579707,-0.746268656716418,0.2,0.2,0.025,0.016666666666666666,0.0,0.004514680354526401,0.03991660740544245,0.004514680354526401,False,True,True,True,,,,,,,0.013667638728663833,-0.03991660740544245,,
2017-04-13,-0.03999999999999909,-0.5076923076923072,-0.7384615384615385,0.1,0.2,0.025,0.016666666666666666,-0.00453515516539138,0.031182927436687935,0.03991660740544245,0.009009069942365944,False,True,True,True,,,,,,,0.013667638728663833,-0.004514680354526401,,
2017-04-17,0.0,-0.5151515151515148,-0.7404580152671756,0.1,0.2,0.025,0.016666666666666666,0.0,0.035718082602079315,0.04445176257083383,0.01801850550267825,False,True,True,True,,,,,,,0.01834913866819643,-0.009049835519917782,,
2017-04-18,0.09090909090909033,-0.4838709677419353,-0.7404580152671756,0.1,0.2,0.025,0.016666666666666666,0.0,0.035718082602079315,0.05310982531394837,0.01801850550267825,False,True,True,True,,,,,,,0.01834913866819643,0.0,,
2017-04-19,0.19999999999999857,-0.4838709677419353,-0.7404580152671756,0.1,0.15,0.025,0.016666666666666666,0.009049835519917782,0.04445176257083383,0.04445176257083383,0.01801850550267825,True,True,True,True,,,,,,,0.01373019281190202,0.009132483563272453,,
2017-04-20,0.39999999999999963,-0.4098360655737704,-0.7054263565891474,0.1,0.15,0.025,0.016666666666666666,0.026668247082161534,0.03540192705091605,0.026668247082161534,0.008968669982760469,True,True,True,True,,,,,,,0.004514680354526401,0.02739897418811421,,
2017-04-21,0.5384615384615382,-0.28358208955223846,-0.6417910447761191,0.3,0.15,0.05,0.016666666666666666,0.0,0.008733679968754515,0.0,-0.017699577099401065,False,True,False,False,,,,,,,0.031182927436687935,0.06336961393258944,,
2017-04-24,0.5384615384615382,-0.28358208955223846,-0.6307692307692305,0.1,0.15,0.05,0.016666666666666666,0.0,0.008733679968754515,-0.008810629682154847,-0.026668247082161534,False,True,False,False,,,,,,,0.035718082602079315,0.06336961393258944,,
2017-04-25,0.454545454545454,-0.24999999999999958,-0.6307692307692305,0.1,0.25,0.05,0.016666666666666666,0.008733679968754515,0.01739174271186905,-0.008810629682154847,-0.035718082602079315,True,True,False,False,,,,,,,0.035718082602079315,0.06336961393258944,,
2017-04-26,0.4285714285714276,-0.16129032258064507,-0.5873015873015871,0.1,0.2,0.05,0.05,0.0,0.0,-0.03540192705091605,-0.053584246134106284,False,False,False,False,,,,,,,0.04445176257083383,0.053584246134106284,,
2017-04-27,0.4285714285714276,-0.13333333333333336,-0.5737704918032785,0.1,0.05,0.05,0.05,0.0,-0.008733679968754515,-0.03540192705091605,-0.06280090123903026,False,False,False,False,,,,,,,0.03540192705091605,0.03991660740544245,,
2017-04-28,0.666666666666666,-0.13333333333333336,-0.5737704918032785,0.1,0.05,0.05,0.05,0.0,-0.008733679968754515,-0.030907537463076507,-0.06280090123903026,False,False,False,False,,,,,,,0.008733679968754515,0.03991660740544245,,
2017-05-02,0.666666666666666,-0.13333333333333336,-0.5737704918032785,0.1,0.05,0.05,0.016666666666666666,0.008658062743114536,-0.017544309650909362,-0.02643325706815558,-0.06280090123903026,True,False,False,False,,,,,,,0.008733679968754515,0.053584246134106284,,
2017-05-03,0.6999999999999993,-0.13333333333333336,-0.5409836065573771,0.1,0.05,0.05,0.016666666666666666,-0.008658062743114536,-0.0262023723940239,-0.035091319811270116,-0.07609934353864722,False,False,False,False,,,,,,,0.01739174271186905,0.06224230887722082,,
2017-05-04,0.5454545454545453,-0.19999999999999976,-0.5371900826446281,0.1,0.05,0.05,0.016666666666666666,-0.008733679968754515,-0.03540192705091605,-0.02643325706815558,-0.06744128079553269,False,False,False,False,,,,,,,0.0,0.053584246134106284,,
2017-05-05,0.4166666666666669,-0.17241379310344815,-0.5447154471544715,0.2,0.05,0.05,0.016666666666666666,0.0,-0.026668247082161534,-0.017699577099401065,-0.05870760082677817,False,False,False,False,,,,,,,-0.008733679968754515,0.04485056616535177,,
2017-05-08,0.5454545454545453,-0.14285714285714285,-0.5213675213675212,0.2,0.05,0.05,0.016666666666666666,-0.008810629682154847,-0.02217385749432199,-0.017699577099401065,-0.040273899137940106,False,False,False,False,,,,,,,-0.008733679968754515,0.04485056616535177,,
2017-05-09,0.4166666666666669,-0.17241379310344815,-0.5213675213675212,0.2,0.05,0.05,0.016666666666666666,0.0,-0.008888947417246218,-0.017857617400006687,-0.03146326945578526,False,False,False,False,,,,,,,-0.017544309650909362,0.0452565915881209,,
2017-05-11,0.39130434782608775,-0.17241379310344815,-0.5213675213675212,0.1,0.05,0.05,0.05,-0.017857617400006687,-0.008888947417246218,-0.02690745291992447,-0.04063764573182649,False,False,False,False,,,,,,,-0.0262023723940239,0.0452565915881209,,
2017-05-12,0.04347826086956428,-0.14285714285714285,-0.5254237288135593,0.1,0.2,0.075,0.05,0.0,0.008968669982760469,-0.018182319083190235,-0.0227800283318198,False,True,False,False,,,,,,,-0.03540192705091605,0.0227800283318198,,
2017-05-15,0.04347826086956428,0.0,-0.391304347826087,0.1,0.1,0.05,0.05,0.004494389587839542,0.008968669982760469,-0.02739897418811421,-0.018182319083190235,True,True,False,False,,,,,,,-0.026668247082161534,0.004514680354526401,-0.5634693572514129,
2017-05-16,0.13043478260869593,0.020408163265306388,-0.3483146067415727,0.1,0.1,0.075,0.05,0.0044742803949209264,0.0044742803949209264,-0.031893363775953754,-0.022676708671029777,True,True,False,False,,,,,,,-0.02217385749432199,0.009009069942365944,-0.5589749676635734,
2017-05-17,0.16666666666666619,0.08333333333333297,-0.3333333333333333,0.1,0.1,0.075,0.05,0.0,-0.008968669982760469,-0.03636764417087468,-0.027150989065950704,False,False,False,False,,,,,,,-0.008888947417246218,0.01801850550267825,-0.5545006872686524,
2017-05-18,0.16666666666666619,0.13043478260869504,-0.30232558139534893,0.1,0.1,0.075,0.05,0.0,-0.01801850550267825,-0.04100802372737711,-0.01348335033728687,False,False,False,False,,,,,,,-0.008888947417246218,0.01801850550267825,-0.5493592877682334,
2017-05-19,0.09090909090909062,0.18181818181818094,-0.30232558139534893,0.1,0.1,0.075,0.05,0.0,-0.027150989065950704,-0.04100802372737711,-0.027150989065950704,False,False,False,False,,,,,,,0.008968669982760469,0.01801850550267825,-0.5493592877682334,
2017-05-22,-0.25000000000000167,0.23809523809523794,-0.2771084337349398,0.1,0.05,0.075,0.05,0.0,-0.03636764417087468,-0.04100802372737711,-0.027150989065950704,False,False,False,False,,,,,,,0.008968669982760469,0.008968669982760469,-0.5493592877682334,
2017-05-23,-0.25000000000000167,0.23809523809523794,-0.2771084337349398,0.2,0.05,0.075,0.05,-0.008968669982760469,-0.03636764417087468,-0.02257432203853904,-0.01801850550267825,False,False,False,False,,,,,,,0.0044742803949209264,-0.017699577099401065,-0.5337745567515355,
2017-05-24,-0.33333333333333465,0.18181818181818188,-0.29411764705882354,0.3,0.05,0.125,0.05,-0.009049835519917782,-0.02739897418811421,-0.013605652055778572,-0.009049835519917782,False,False,False,False,,,,,,,-0.008968669982760469,-0.026668247082161534,-0.542743226734296,
2017-05-25,-0.5555555555555565,0.04761904761904746,-0.2857142857142856,0.2,0.05,0.1,0.05,-0.009132483563272453,-0.022989518224698857,-0.01373019281190202,0.0,False,False,False,False,,,,,,,-0.01801850550267825,-0.035718082602079315,-0.541266649267226,
2017-05-26,-0.6000000000000008,-0.07317073170731729,-0.26829268292682923,0.2,0.05,0.1,0.05,-0.009216655104923976,-0.013857034661426404,-0.004597709248629567,0.009132483563272453,False,False,False,True,,,,,,,-0.027150989065950704,-0.053584246134106284,-0.42063990612739954,
2017-05-29,-0.6363636363636369,-0.11627906976744194,-0.26829268292682923,0.1,0.05,0.1,0.05,0.0,-0.0046403795565024275,0.009216655104923976,0.01834913866819643,False,False,True,True,,,,,,,-0.03636764417087468,-0.06280090123903026,-0.4085467746455722,
2017-05-30,-0.6363636363636369,-0.049999999999999864,-0.26829268292682923,0.1,0.15,0.1,0.05,0.0,0.01379332213233564,0.009216655104923976,0.01834913866819643,False,True,True,True,,,,,,,-0.03636764417087468,-0.06280090123903026,-0.3961627154458507,
